Timestamp: 2021-11-03 19:12:17.761657 | ProcessId: validator_4 | Action: Initial configuration | Object: {'nvalidators': 7, 'nfaulty': 2, 'nclients': 6, 'nclientops': 9, 'sleeptime': 1, 'clienttimeout': 10, 'delta': 4, 'window_size': 5, 'exclude_size': 3, 'failure_config': FailureConfig(failures=[Failure(src='_', dest='leader', msg_type=<MsgType.Vote: 4>, round=2, prob=1, fail_type=<FailType.MsgLoss: 1>, val=None, attr=None), Failure(src='_', dest='_', msg_type=<MsgType.Timeout: 3>, round=2, prob=0.25, fail_type=<FailType.MsgLoss: 1>, val=None, attr=None)], seed=637713655)} |
Timestamp: 2021-11-03 19:12:18.097363 | ProcessId: validator_4 | Event: Sent | MsgType: Vote | To: validator_1 | Msg: {'vote_info': {'id': [54, 50, 98, 51, 55, 101, 56, 100, 49, 57, 52, 97, 100, 48, 51, 102, 101, 99, 53, 53, 48, 50, 51, 55, 50, 54, 48, 54, 98, 56, 50, 53, 55, 48, 49, 99, 54, 51, 98, 49, 97, 101, 97, 51, 55, 55, 51, 52, 55, 101, 52, 53, 56, 57, 98, 99, 50, 102, 99, 102, 53, 98, 57, 50], 'round': 1, 'parent_id': '0', 'parent_round': 0, 'exec_state_id': [49, 52, 98, 49, 49, 53, 48, 50, 57, 53, 51, 54, 99, 53, 99, 100, 97, 48, 53, 49, 50, 49, 48, 100, 102, 99, 100, 53, 51, 55, 101, 97, 56, 99, 99, 97, 53, 98, 102, 51, 98, 51, 99, 57, 55, 99, 56, 56, 97, 52, 49, 48, 55, 52, 53, 55, 98, 52, 99, 49, 53, 100, 48, 54]}, 'ledger_commit_info': {'commit_state_id': None, 'vote_info_hash': [97, 48, 53, 56, 51, 51, 57, 53, 101, 101, 55, 55, 54, 99, 56, 52, 100, 56, 48, 98, 102, 49, 55, 53, 97, 51, 101, 51, 100, 101, 52, 48, 50, 53, 101, 57, 54, 50, 100, 52, 100, 57, 51, 97, 50, 56, 52, 53, 56, 52, 53, 54, 51, 56, 97, 51, 51, 57, 55, 52, 99, 49, 97, 100]}, 'high_commit_qc': None, 'sender': 4, 'signature': {}}
Timestamp: 2021-11-03 19:12:18.097996 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_0', 'command': '3-0'}
Timestamp: 2021-11-03 19:12:18.098555 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_4', 'command': '4-4'}
Timestamp: 2021-11-03 19:12:18.113770 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_1', 'command': '1-1'}
Timestamp: 2021-11-03 19:12:18.124151 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_5', 'command': '4-5'}
Timestamp: 2021-11-03 19:12:18.148207 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_2', 'command': '1-2'}
Timestamp: 2021-11-03 19:12:18.151878 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_6', 'command': '4-6'}
Timestamp: 2021-11-03 19:12:18.152977 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_1', 'command': '3-1'}
Timestamp: 2021-11-03 19:12:18.153538 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_2', 'command': '3-2'}
Timestamp: 2021-11-03 19:12:18.154065 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_7', 'command': '4-7'}
Timestamp: 2021-11-03 19:12:18.154600 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_3', 'command': '1-3'}
Timestamp: 2021-11-03 19:12:18.155167 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_8', 'command': '4-8'}
Timestamp: 2021-11-03 19:12:18.155697 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_4', 'command': '1-4'}
Timestamp: 2021-11-03 19:12:18.156220 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_3', 'command': '3-3'}
Timestamp: 2021-11-03 19:12:18.156740 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_4', 'command': '3-4'}
Timestamp: 2021-11-03 19:12:18.157255 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_2', 'command': '5-2'}
Timestamp: 2021-11-03 19:12:18.157767 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_1', 'command': '0-1'}
Timestamp: 2021-11-03 19:12:18.215641 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_3', 'command': '2-3'}
Timestamp: 2021-11-03 19:12:18.239605 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_5', 'command': '1-5'}
Timestamp: 2021-11-03 19:12:18.241133 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_3', 'command': '5-3'}
Timestamp: 2021-11-03 19:12:18.241725 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_5', 'command': '3-5'}
Timestamp: 2021-11-03 19:12:18.242262 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_6', 'command': '1-6'}
Timestamp: 2021-11-03 19:12:18.242806 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_2', 'command': '0-2'}
Timestamp: 2021-11-03 19:12:18.244494 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_4', 'command': '5-4'}
Timestamp: 2021-11-03 19:12:18.246144 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_3', 'command': '0-3'}
Timestamp: 2021-11-03 19:12:18.247845 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_4', 'command': '2-4'}
Timestamp: 2021-11-03 19:12:18.248464 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_5', 'command': '5-5'}
Timestamp: 2021-11-03 19:12:18.249024 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_6', 'command': '3-6'}
Timestamp: 2021-11-03 19:12:18.249586 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_4', 'command': '0-4'}
Timestamp: 2021-11-03 19:12:18.251499 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_5', 'command': '2-5'}
Timestamp: 2021-11-03 19:12:18.253134 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_5', 'command': '0-5'}
Timestamp: 2021-11-03 19:12:18.254690 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_6', 'command': '0-6'}
Timestamp: 2021-11-03 19:12:18.255631 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_6', 'command': '2-6'}
Timestamp: 2021-11-03 19:12:18.258241 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_7', 'command': '0-7'}
Timestamp: 2021-11-03 19:12:18.262580 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_7', 'command': '2-7'}
Timestamp: 2021-11-03 19:12:18.267338 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_8', 'command': '0-8'}
Timestamp: 2021-11-03 19:12:18.272060 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_8', 'command': '2-8'}
Timestamp: 2021-11-03 19:12:18.274424 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_6', 'command': '5-6'}
Timestamp: 2021-11-03 19:12:18.285572 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_7', 'command': '3-7'}
Timestamp: 2021-11-03 19:12:18.362397 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_7', 'command': '5-7'}
Timestamp: 2021-11-03 19:12:18.406044 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_8', 'command': '3-8'}
Timestamp: 2021-11-03 19:12:18.446092 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_8', 'command': '5-8'}
Timestamp: 2021-11-03 19:12:18.454978 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_7', 'command': '1-7'}
Timestamp: 2021-11-03 19:12:18.491037 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_8', 'command': '1-8'}
Timestamp: 2021-11-03 19:12:18.497369 | ProcessId: validator_4 | Event: Received | MsgType: Proposal | From: validator_1 | Msg: {'block': {'author': 1, 'round': 2, 'payload': [{'req_id': '2_0', 'command': '2-0', 'client': [7195121134156765609805846, 1, {}, '', '', '127.0.0.1', [15936, 21596]]}], 'qc': {'vote_info': {'id': [54, 50, 98, 51, 55, 101, 56, 100, 49, 57, 52, 97, 100, 48, 51, 102, 101, 99, 53, 53, 48, 50, 51, 55, 50, 54, 48, 54, 98, 56, 50, 53, 55, 48, 49, 99, 54, 51, 98, 49, 97, 101, 97, 51, 55, 55, 51, 52, 55, 101, 52, 53, 56, 57, 98, 99, 50, 102, 99, 102, 53, 98, 57, 50], 'round': 1, 'parent_id': '0', 'parent_round': 0, 'exec_state_id': [49, 52, 98, 49, 49, 53, 48, 50, 57, 53, 51, 54, 99, 53, 99, 100, 97, 48, 53, 49, 50, 49, 48, 100, 102, 99, 100, 53, 51, 55, 101, 97, 56, 99, 99, 97, 53, 98, 102, 51, 98, 51, 99, 57, 55, 99, 56, 56, 97, 52, 49, 48, 55, 52, 53, 55, 98, 52, 99, 49, 53, 100, 48, 54]}, 'ledger_commit_info': {'commit_state_id': None, 'vote_info_hash': [97, 48, 53, 56, 51, 51, 57, 53, 101, 101, 55, 55, 54, 99, 56, 52, 100, 56, 48, 98, 102, 49, 55, 53, 97, 51, 101, 51, 100, 101, 52, 48, 50, 53, 101, 57, 54, 50, 100, 52, 100, 57, 51, 97, 50, 56, 52, 53, 56, 52, 53, 54, 51, 56, 97, 51, 51, 57, 55, 52, 99, 49, 97, 100]}, 'signatures': [{}, {}, {}, {}, {}], 'author': 1, 'signers': [0, 1, 4, 5, 3], 'author_signature': {}}, 'id': [56, 57, 52, 56, 100, 52, 57, 51, 52, 55, 57, 56, 100, 98, 54, 100, 48, 53, 53, 50, 101, 51, 52, 98, 52, 54, 55, 49, 57, 52, 97, 53, 50, 99, 102, 99, 101, 97, 99, 100, 57, 57, 52, 98, 56, 56, 99, 100, 54, 100, 98, 52, 54, 102, 56, 49, 53, 49, 99, 49, 100, 54, 101, 50], 'author_signature': {}}, 'last_round_tc': None, 'high_commit_qc': None, 'sender': 1, 'signature': {}}
Timestamp: 2021-11-03 19:12:18.497941 | ProcessId: validator_4 | Action: Verified ProposalMsg signature | Object: True |
Timestamp: 2021-11-03 19:12:18.502856 | ProcessId: validator_4 | Action: Advancing to round due to QC | Object: 2 |
Timestamp: 2021-11-03 19:12:18.503769 | ProcessId: validator_4 | Action: Injecting fault | Object: ['MsgLoss', ('Vote', <object_types.VoteMsg object at 0x10a2a9d68>), <ValidatorFI:74810>] |
Timestamp: 2021-11-03 19:12:18.504400 | ProcessId: validator_4 | Event: Sent | MsgType: Vote | To: validator_1 | Msg: {'vote_info': {'id': [56, 57, 52, 56, 100, 52, 57, 51, 52, 55, 57, 56, 100, 98, 54, 100, 48, 53, 53, 50, 101, 51, 52, 98, 52, 54, 55, 49, 57, 52, 97, 53, 50, 99, 102, 99, 101, 97, 99, 100, 57, 57, 52, 98, 56, 56, 99, 100, 54, 100, 98, 52, 54, 102, 56, 49, 53, 49, 99, 49, 100, 54, 101, 50], 'round': 2, 'parent_id': [54, 50, 98, 51, 55, 101, 56, 100, 49, 57, 52, 97, 100, 48, 51, 102, 101, 99, 53, 53, 48, 50, 51, 55, 50, 54, 48, 54, 98, 56, 50, 53, 55, 48, 49, 99, 54, 51, 98, 49, 97, 101, 97, 51, 55, 55, 51, 52, 55, 101, 52, 53, 56, 57, 98, 99, 50, 102, 99, 102, 53, 98, 57, 50], 'parent_round': 1, 'exec_state_id': [55, 101, 55, 100, 100, 55, 55, 55, 49, 48, 98, 55, 53, 101, 50, 48, 49, 57, 99, 56, 49, 101, 98, 48, 56, 100, 102, 56, 51, 57, 102, 99, 57, 49, 55, 101, 100, 97, 52, 97, 55, 51, 54, 57, 51, 102, 48, 99, 55, 53, 98, 97, 49, 50, 49, 55, 99, 53, 102, 48, 102, 53, 56, 50]}, 'ledger_commit_info': {'commit_state_id': [49, 52, 98, 49, 49, 53, 48, 50, 57, 53, 51, 54, 99, 53, 99, 100, 97, 48, 53, 49, 50, 49, 48, 100, 102, 99, 100, 53, 51, 55, 101, 97, 56, 99, 99, 97, 53, 98, 102, 51, 98, 51, 99, 57, 55, 99, 56, 56, 97, 52, 49, 48, 55, 52, 53, 55, 98, 52, 99, 49, 53, 100, 48, 54], 'vote_info_hash': [54, 102, 50, 97, 56, 51, 97, 53, 53, 99, 49, 99, 99, 55, 54, 52, 49, 57, 52, 98, 53, 51, 52, 51, 49, 101, 99, 54, 52, 100, 52, 48, 57, 56, 55, 55, 55, 54, 52, 101, 98, 50, 48, 48, 97, 97, 101, 56, 54, 98, 53, 101, 50, 52, 56, 52, 98, 49, 50, 51, 56, 52, 98, 54]}, 'high_commit_qc': None, 'sender': 4, 'signature': {}}
Timestamp: 2021-11-03 19:12:28.051511 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_0', 'command': '2-0'}
Timestamp: 2021-11-03 19:12:28.052355 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_0', 'command': '5-0'}
Timestamp: 2021-11-03 19:12:28.053665 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_1', 'command': '2-1'}
Timestamp: 2021-11-03 19:12:28.054269 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_0', 'command': '4-0'}
Timestamp: 2021-11-03 19:12:28.057883 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_2', 'command': '2-2'}
Timestamp: 2021-11-03 19:12:28.058525 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_1', 'command': '4-1'}
Timestamp: 2021-11-03 19:12:28.059573 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_0', 'command': '0-0'}
Timestamp: 2021-11-03 19:12:28.063006 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_2', 'command': '4-2'}
Timestamp: 2021-11-03 19:12:28.070964 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_3', 'command': '4-3'}
Timestamp: 2021-11-03 19:12:28.089614 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_0', 'command': '3-0'}
Timestamp: 2021-11-03 19:12:28.090168 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_4', 'command': '4-4'}
Timestamp: 2021-11-03 19:12:28.090718 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_0', 'command': '1-0'}
Timestamp: 2021-11-03 19:12:28.094163 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_5', 'command': '4-5'}
Timestamp: 2021-11-03 19:12:28.103121 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_1', 'command': '1-1'}
Timestamp: 2021-11-03 19:12:28.104851 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_6', 'command': '4-6'}
Timestamp: 2021-11-03 19:12:28.109332 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_1', 'command': '3-1'}
Timestamp: 2021-11-03 19:12:28.109922 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_2', 'command': '1-2'}
Timestamp: 2021-11-03 19:12:28.116431 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_1', 'command': '5-1'}
Timestamp: 2021-11-03 19:12:28.119598 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_7', 'command': '4-7'}
Timestamp: 2021-11-03 19:12:28.120161 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_2', 'command': '3-2'}
Timestamp: 2021-11-03 19:12:28.123801 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_3', 'command': '1-3'}
Timestamp: 2021-11-03 19:12:28.133872 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_8', 'command': '4-8'}
Timestamp: 2021-11-03 19:12:28.141440 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_3', 'command': '3-3'}
Timestamp: 2021-11-03 19:12:28.151426 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_4', 'command': '1-4'}
Timestamp: 2021-11-03 19:12:28.151996 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_2', 'command': '5-2'}
Timestamp: 2021-11-03 19:12:28.154250 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_4', 'command': '3-4'}
Timestamp: 2021-11-03 19:12:28.161818 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_1', 'command': '0-1'}
Timestamp: 2021-11-03 19:12:28.165741 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_3', 'command': '5-3'}
Timestamp: 2021-11-03 19:12:28.167409 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_5', 'command': '1-5'}
Timestamp: 2021-11-03 19:12:28.174837 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_2', 'command': '0-2'}
Timestamp: 2021-11-03 19:12:28.175383 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_4', 'command': '5-4'}
Timestamp: 2021-11-03 19:12:28.179820 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_3', 'command': '0-3'}
Timestamp: 2021-11-03 19:12:28.182035 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_4', 'command': '2-4'}
Timestamp: 2021-11-03 19:12:28.182591 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_5', 'command': '3-5'}
Timestamp: 2021-11-03 19:12:28.183116 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_3', 'command': '2-3'}
Timestamp: 2021-11-03 19:12:28.183821 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_6', 'command': '3-6'}
Timestamp: 2021-11-03 19:12:28.186325 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_5', 'command': '0-5'}
Timestamp: 2021-11-03 19:12:28.187348 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_5', 'command': '2-5'}
Timestamp: 2021-11-03 19:12:28.189252 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_4', 'command': '0-4'}
Timestamp: 2021-11-03 19:12:28.190828 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_6', 'command': '2-6'}
Timestamp: 2021-11-03 19:12:28.191672 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_6', 'command': '0-6'}
Timestamp: 2021-11-03 19:12:28.192201 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_5', 'command': '5-5'}
Timestamp: 2021-11-03 19:12:28.194338 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_7', 'command': '0-7'}
Timestamp: 2021-11-03 19:12:28.198616 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_7', 'command': '2-7'}
Timestamp: 2021-11-03 19:12:28.199400 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_8', 'command': '0-8'}
Timestamp: 2021-11-03 19:12:28.220602 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_6', 'command': '5-6'}
Timestamp: 2021-11-03 19:12:28.221872 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_7', 'command': '3-7'}
Timestamp: 2021-11-03 19:12:28.223809 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_8', 'command': '2-8'}
Timestamp: 2021-11-03 19:12:28.225685 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_6', 'command': '1-6'}
Timestamp: 2021-11-03 19:12:28.229822 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_3 | Msg: {'req_id': '3_8', 'command': '3-8'}
Timestamp: 2021-11-03 19:12:28.230613 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_7', 'command': '5-7'}
Timestamp: 2021-11-03 19:12:28.237428 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_8', 'command': '5-8'}
Timestamp: 2021-11-03 19:12:28.272232 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_7', 'command': '1-7'}
Timestamp: 2021-11-03 19:12:28.287617 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_8', 'command': '1-8'}
